drug_name,avg_sentiment,review_count,pct_negative,pct_positive,sentiment_std,condition_diversity,review_recency,drug_age,is_new_drug,class_ace_inhibitor,class_alpha_blocker,class_analgesic_nsaid,class_antibiotic,class_anticoagulant,class_anticonvulsant,class_antidepressant_other,class_antiplatelet,class_arb,class_benzodiazepine,class_beta_blocker,class_calcium_channel_blocker,class_cardiac_glycoside,class_corticosteroid,class_diabetes_oral,class_diuretic,class_glp1,class_insulin,class_muscle_relaxant,class_opioid,class_ppi,class_respiratory,class_sglt2,class_sleep,class_ssri,class_statin,class_thyroid,price_median_unit,price_cv,generic_available,n_manufacturers,price_30day,price_log,shortage_total,shortage_active,has_active_shortage,adverse_total,adverse_unique,adverse_log,trial_total,trial_completed,trial_completion_rate,pubmed_total,pubmed_recent,pubmed_recency_ratio
ibuprofen,0.00980500000000001,100.0,0.4,0.45,0.6285364750591631,8.0,0.6,50,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03855,3.044724888970084,1.0,2000.0,1.1565,0.7684865371057608,0.0,0.0,0.0,500,302,6.2166061010848646,200,0,0.0,150,37,0.24666666666666667
insulin glargine,-0.13455999999999999,100.0,0.5,0.3,0.5897594334073253,4.0,1.0,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.09125,0.8771244606646661,1.0,312.0,182.73749999999998,5.213508108568106,3.0,3.0,1.0,500,308,6.2166061010848646,200,0,0.0,150,29,0.19333333333333333
insulin lispro,-0.39858999999999994,100.0,0.75,0.25,0.5062132240289838,4.0,1.0,28,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10.19593,0.41008357093370784,1.0,212.0,305.8779,5.726449948605966,6.0,6.0,1.0,500,308,6.2166061010848646,200,0,0.0,150,24,0.16
levothyroxine,-0.30153,100.0,0.7,0.2,0.49173228745451786,5.0,1.0,97,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.07092,3.153797697725088,1.0,2000.0,2.1275999999999997,1.1402659372682218,3.0,3.0,1.0,500,254,6.2166061010848646,200,0,0.0,150,75,0.5
lisinopril,-0.3585000000000001,100.0,0.6,0.25,0.5631838361790343,3.0,1.0,37,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02401,0.45635928721961894,1.0,2000.0,0.7203,0.5424986942208565,0.0,0.0,0.0,200,151,5.303304908059076,155,0,0.0,50,10,0.2
losartan,-0.6733800000000001,100.0,0.85,0.05,0.355827296946883,3.0,1.0,29,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04729,0.42417262250971327,1.0,2000.0,1.4186999999999999,0.8832302057476642,0.0,0.0,0.0,500,262,6.2166061010848646,200,0,0.0,150,27,0.18
metformin,-0.23445250000000004,40.0,0.6,0.375,0.6913147871016392,0.0,1.0,30,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.02325,4.295642496913217,1.0,2016.0,0.6975,0.5291565804507141,0.0,0.0,0.0,200,148,5.303304908059076,200,0,0.0,50,37,0.74
methylprednisolone,-0.2615,100.0,0.6,0.4,0.6657251457598471,8.0,1.0,67,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.28311,1.2383967311802822,1.0,2000.0,38.4933,3.6761310372667695,7.0,7.0,1.0,500,313,6.2166061010848646,200,0,0.0,150,25,0.16666666666666666
metoprolol,-0.029865000000000003,100.0,0.5,0.4,0.6670245291591607,7.0,1.0,46,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05663,1.5666560351819028,1.0,2000.0,1.6989,0.9928442825899307,3.0,3.0,1.0,500,224,6.2166061010848646,200,0,0.0,150,13,0.08666666666666667
montelukast,-0.1813120996441281,281.0,0.5693950177935944,0.33451957295373663,0.6066260597378551,0.0,0.199288256227758,26,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.06909,1.8670791157118052,1.0,2000.0,2.0726999999999998,1.122556653911568,6.0,6.0,1.0,500,294,6.2166061010848646,200,0,0.0,150,51,0.34
