drug_name,rating,review_text,condition,date,source,review_id,helpful_votes,scraped_at
metformin,2.0,"If youâre not already suffering from a mental disorder , donât take this med. had severe mood swings anger outbursts and now doing better have had have normal blood sugar and no chest pains . Stay on a low carb diet and no alcohol what I been doing seems to work and taking vitamins .",,2023-03-01,webmd,7dd91147a483,1,2026-03-09T16:40:53.815925
metformin,6.7,"Being treated for Diabetes 2, have had prurigo nodularis 4 years.  The drug seems to do little for my blood glucose, my numbers haven't decreased, BUT, my skin condition seems to be improving.

Has anyone found ""off label"" positive results from this medication?",,2023-02-03,webmd,166c07276ae6,1,2026-03-09T16:40:53.816345
amlodipine,4.0,"My doctor added this because my blood pressure was 130 over 90. after two weeks I was sick from the side effects. Headaches, brain fog, dizzy, vision problem.  over all feeling of being unwell. I stopped it and after a few days starting to feel better.I think it takes a week or so to get out of youre system.",,2025-12-24,webmd,996117769923,1,2026-03-09T16:41:56.714156
amlodipine,2.0,"I was prescribed 5mg twice a day and all hell broke loose! Woke up one morning and thought Iâd been poisoned.  Felt like I was going to die. Muscle weakness, jittery shakes, heart was pounding, anxiety, and now jaw pain. Of course the Dr. said that these werenât side effects from the poisonous amlodopine. So I saved myself and stopped taking it, common sense says to listen to what your body is telling you! 4 weeks later Iâm feeling much better but still have some residual effects that are mild.  ...  Iâll die from high blood pressure before I put poison in my body! Some of Satans finest work along with hemorrhoids. 
   Read More  Read Less",,2025-11-20,webmd,30429e1ea455,1,2026-03-09T16:41:56.714686
amlodipine,2.0,This medicine messed up my feet went from walking 2 miles a day not able to walk at all it has messed up my life,,2025-09-11,webmd,00e7aeddcb28,1,2026-03-09T16:41:56.715147
amlodipine,8.7,"I have taken amlodipine for many years.  I had tried other bp meds that didn't work.  It did the job.  Took my 180/110 down to 124/70 and kept it near that all this time.  But 6 weeks ago my calves and knees started swelling.  I went from walking an hour outside every morning to barely being able to walk 10 minutes.  This turned out not to be my heart, not my kidneys, but amlodipine!  Even after years you can start having side effects.",,2025-08-15,webmd,e9879163881f,1,2026-03-09T16:41:56.715594
amlodipine,4.7,"Edema, neuropathy, dizziness, insomnia, skin rash, wild dreams, vision problems, flushing, muscle pain, flu-like symptoms, chills; on this drug for 4 mos.; ER change to Ramipril; edema and neuropathy continue while other symptoms subsiding.  It was a very bad drug for me and still is after discontinuation;",,2025-07-18,webmd,a61cdb1cf25a,1,2026-03-09T16:41:56.716054
amlodipine,5.3,Doc put me on 5mg Amlodipine when refused cataract surgery due to high BP.  Already on Losartan and diuretic.  Seemed to work OK so carried on taking for two years with no problems.  Recently noticed ankles swelling then lower legs then knees.  Also got short of breath.  Stopped it ten days ago and so far no change in BP still 120/70 on average.  Ankle swelling gone down a bit but knees still swollen and stiff.  Guess it is going to take a bit longer.  Conclusion is I don't like this stuff and I ...   don't think I needed Amlodipine.  A tranquilizer at the pre op might have been better.   Read More  Read Less,,2025-06-06,webmd,c25e1a8fed88,1,2026-03-09T16:41:56.716516
amlodipine,2.7,"Some side of effects I have experienced Is headaches,really fatigue and anxiety I would not recommend this medicine to anyone.",,2025-05-05,webmd,cbbcc805a47b,1,2026-03-09T16:41:56.716958
amlodipine,4.0,"I was randomly prescribed this medication when seeing my doctor for hip pain from a fall. I was very stressed with an upcoming wedding for our daughter and my BP was 153/90 in office. I started one 5 mg pill that night. The next day after waking I started feeling my heart racing and felt dizzy and had chest pain- a call to my Dr sent me to the ER, where I was given an EKG and troponin test for a potential heart attack. ELG was abnormal and after sitting in the ER for 12 hours, repeating all test ...  s and seen by a cardiologist who said I did not have a heart attack
- but suggested I discontinue the medication and contact by GP who described it. She said I did not need a follow up with a cardiologist. Today my BP is 117/75 regularly(naturally) , the wedding has passed! , I exercise daily and take no medication. I am 62 and this medication was not for me.    Read More  Read Less",,2025-03-06,webmd,2c36179f12dc,1,2026-03-09T16:41:56.717440
amlodipine,2.0,"This medication is dangerous. I took this tablet for 2 days. I had severe stomach pains, diarrhoea, nausea, kidney pain, bottom lip swelling, extreme sweating, fatigue, no appetite I rang my doctor and was told to stop, itâs been 3 days since I last took one and itâs still affecting me. I searched this drug up to see how long the side effects last which is up to 11 days then I read other reviews and seen it has been banned over in the US.",,2025-02-02,webmd,f00f3a42107a,1,2026-03-09T16:41:56.717897
amlodipine,6.7,I have been taking the medication for 3 years.  Aside from  the dizziness shortly after taking a dose i have no problems.,,2025-02-02,webmd,28b029523955,1,2026-03-09T16:41:56.718325
amlodipine,10.0,Was. On 5 mg now 10 mg. Blood pressure very good now. Dry mouth and some fatigue but otherwise has been good. I take with 5 mg bisoprolol and 160 valsartan.,,2025-01-13,webmd,bd47586caff0,1,2026-03-09T16:41:56.718731
amlodipine,4.7,"Way too many side effects. Massive ankles and swollen hands, swollen all over, triple chin, struggling to get up, cellulite, short breath and even a bit of leaking when laughing. Never again.",,2025-01-05,webmd,92ef7a2e232e,1,2026-03-09T16:41:56.719140
amlodipine,2.0,"Fatigue, tiredness, both shoulder pain, anxiety and swelling in right ankle and leg.",,2024-12-31,webmd,a69d808b23cd,1,2026-03-09T16:41:56.719558
amlodipine,5.3,I suffer from edema and I believe this drug has made it worse.,,2024-12-30,webmd,d479cee290ed,1,2026-03-09T16:41:56.719990
amlodipine,4.0,"I was on Amlodipine 5mg for over a year and it controlled my BP so well the doctor was thinking about lowering the dosage. However, the oblong pill with the letter L printed on the front and the number 29 on the back was discontinued and replaced with a round pill with the number 5 on front and U on back. Within a week my BP increased to a high level and my Dr increased the dosage to 2x a day with no effective change in lowering the BP. Now I have headaches and a pounding heart along with Kidney ...   pain and tingling in fingers and toes. The revised Amlodipine is not effective.   Read More  Read Less",,2024-11-29,webmd,e0ebdbe74c82,1,2026-03-09T16:41:56.720427
amlodipine,3.3,"After 3 days of minimal dose I got headaches, muscle aches, left side of my face started getting numb and swelled... all listed side effects, you name it , i got it! It's poison not a drug...",,2024-11-12,webmd,adcd24513114,1,2026-03-09T16:41:56.720850
amlodipine,4.7,"Amlodipine side effects, for me, were horrendous. Extreme anxiety, light beaded, constipation, chest pains caused by extreme amount of gas. The chest pains were so worrisome, thought I was having a heart attack. I am sure this medication may be fine for others, but for me, this is pure poison.",,2024-11-08,webmd,7185ad3706b4,1,2026-03-09T16:41:56.721260
amlodipine,2.7,"Took 5 mg and after 1 month caused palpitations and constipation,  took 12 days for symptoms to go away.",,2024-10-10,webmd,4f8c41eb2139,1,2026-03-09T16:41:56.721670
